Municipio;Provincia;Metros Cadrados por Ferrado (m2)
Abadín;Lugo;504
Abegondo;A Coruña;436
Agolada;Pontevedra;536
Alfoz;Lugo;714
Allariz;Ourense;629
Ames;A Coruña;639
Amoeiro;Ourense;629
Antas de Ulla;Lugo;604
Aranga;A Coruña;436
Arbo;Pontevedra;437
Ares;A Coruña;548
A Arnoia;Ourense;629
Arteixo;A Coruña;444
Arzúa;A Coruña;536
Avión;Ourense;629
Baiona;Pontevedra;539
Baleira;Lugo;714
Baltar;Ourense;629
Bande;Ourense;629
A Baña;A Coruña;528
Baños de Molgas;Ourense;629
Baralla;Lugo;Dato non dispoñible
Barbadás;Ourense;629
O Barco de Valdeorras;Ourense;629
Barreiros;Lugo;714
Barro;Pontevedra;Dato non dispoñible
Beade;Ourense;629
Beariz;Ourense;629
Becerreá;Lugo;578
Begonte;Lugo;525
Bergondo;A Coruña;436
Betanzos;A Coruña;434
Os Blancos;Ourense;629
Boborás;Ourense;629
Boimorto;A Coruña;Dato non dispoñible
Boiro;A Coruña;484
A Bola;Ourense;629
O Bolo;Ourense;629
Boqueixón;A Coruña;639
Bóveda;Lugo;489
Brión;A Coruña;Dato non dispoñible
Bueu;Pontevedra;472
Burela;Lugo;Dato non dispoñible
Cabana de Bergantiños;A Coruña;Dato non dispoñible
Cabanas;A Coruña;Dato non dispoñible
Caldas de Reis;Pontevedra;672
Calvos de Randín;Ourense;629
Camariñas;A Coruña;424
Cambados;Pontevedra;629
Cambre;A Coruña;444
Campo Lameiro;Pontevedra;629
Cangas;Pontevedra;472
A Cañiza;Pontevedra;437
A Capela;A Coruña;548
Carballeda de Avia;Ourense;629
Carballeda de Valdeorras;Ourense;629
Carballedo;Lugo;629
O Carballiño;Ourense;629
Carballo;A Coruña;524
Cariño;A Coruña;444
Carnota;A Coruña;400
Carral;A Coruña;444
Cartelle;Ourense;629
Castrelo de Miño;Ourense;629
Castrelo do Val;Ourense;629
Castro Caldelas;Ourense;629
Castro de Rei;Lugo;629
Castroverde;Lugo;496
Catoira;Pontevedra;629
Cedeira;A Coruña;509
Cee;A Coruña;436
Celanova;Ourense;629
Cenlle;Ourense;629
Cerceda;A Coruña;639
Cerdedo-Cotobade;Pontevedra;528
Cerdido;A Coruña;509
Cervantes;Lugo;553
Cervo;Lugo;725
Chandrexa de Queixa;Ourense;629
Chantada;Lugo;629
Coirós;A Coruña;436
Coles;Ourense;629
Corcubión;A Coruña;424
O Corgo;Lugo;436
Coristanco;A Coruña;524
Cortegada;Ourense;629
A Coruña;A Coruña;444
Cospeito;Lugo;525
Covelo;Pontevedra;264
Crecente;Pontevedra;437
Cualedro;Ourense;629
Culleredo;A Coruña;444
Cuntis;Pontevedra;629
Curtis;A Coruña;Dato non dispoñible
Dodro;A Coruña;420
Dozón;Pontevedra;536
Dumbría;A Coruña;424
Entrimo;Ourense;629
Esgos;Ourense;629
A Estrada;Pontevedra;629
Fene;A Coruña;Dato non dispoñible
Ferrol;A Coruña;507
Fisterra;A Coruña;Dato non dispoñible
Folgoso do Courel;Lugo;436
A Fonsagrada;Lugo;507
Forcarei;Pontevedra;500
Fornelos de Montes;Pontevedra;74
Foz;Lugo;714
Frades;A Coruña;636
Friol;Lugo;436
Gomesende;Ourense;629
Gondomar;Pontevedra;541
O Grove;Pontevedra;629
A Guarda;Pontevedra;Dato non dispoñible
A Gudiña;Ourense;629
Guitiriz;Lugo;Dato non dispoñible
Guntín;Lugo;436
A Illa de Arousa;Pontevedra;Dato non dispoñible
O Incio;Lugo;559
O Irixo;Ourense;629
Irixoa;A Coruña;436
Lalín;Pontevedra;536
A Lama;Pontevedra;217
Láncara;Lugo;629
A Laracha;A Coruña;524
Larouco;Ourense;629
Laxe;A Coruña;524
Laza;Ourense;629
Leiro;Ourense;629
Lobeira;Ourense;629
Lobios;Ourense;629
Lourenzá;Lugo;638
Lousame;A Coruña;420
Lugo;Lugo;352
Maceda;Ourense;629
Malpica de Bergantiños;A Coruña;524
Manzaneda;Ourense;629
Mañón;A Coruña;548
Marín;Pontevedra;472
Maside;Ourense;629
Mazaricos;A Coruña;424
Meaño;Pontevedra;629
Meira;Lugo;514
Meis;Pontevedra;629
Melide;A Coruña;536
Melón;Ourense;629
A Merca;Ourense;629
Mesía;A Coruña;603
A Mezquita;Ourense;629
Miño;A Coruña;548
Moaña;Pontevedra;472
Moeche;A Coruña;509
Mondariz;Pontevedra;432
Mondariz-Balneario;Pontevedra;432
Mondoñedo;Lugo;612
Monfero;A Coruña;548
Monforte de Lemos;Lugo;489
Montederramo;Ourense;629
Monterrei;Ourense;629
Monterroso;Lugo;604
Moraña;Pontevedra;648
Mos;Pontevedra;497
Mugardos;A Coruña;548
Muras;Lugo;548
Muros;A Coruña;335
Muxía;A Coruña;424
Narón;A Coruña;509
Navia de Suarna;Lugo;650
Neda;A Coruña;509
Negreira;A Coruña;528
Negueira de Muñiz;Lugo;507
As Neves;Pontevedra;629
Nigrán;Pontevedra;541
As Nogais;Lugo;621
Noia;A Coruña;420
Oia;Pontevedra;402
Oleiros;A Coruña;444
Ordes;A Coruña;639
Oroso;A Coruña;639
Ortigueira;A Coruña;444
Ourol;Lugo;548
Ourense;Ourense;626
Outeiro de Rei;Lugo;436
Outes;A Coruña;396
Paderne;A Coruña;436
Paderne de Allariz;Ourense;629
Padrenda;Ourense;629
Padrón;A Coruña;420
Palas de Rei;Lugo;604
Pantón;Lugo;489
Paradela;Lugo;559
O Páramo;Lugo;559
A Pastoriza;Lugo;504
Pazos de Borbén;Pontevedra;74
Pedrafita do Cebreiro;Lugo;578
Pereiro de Aguiar;Ourense;629
A Peroxa;Ourense;629
O Pino;A Coruña;536
Piñor;Ourense;629
A Pobra de Trives;Ourense;629
A Pobra do Brollón;Lugo;465
A Pobra do Caramiñal;A Coruña;484
Poio;Pontevedra;629
Pol;Lugo;496
Ponteareas;Pontevedra;437
Ponte Caldelas;Pontevedra;629
Ponteceso;A Coruña;524
Pontedeume;A Coruña;548
A Pontenova;Lugo;504
As Pontes de García Rodríguez;A Coruña;548
Pontevedra;Pontevedra;629
O Porriño;Pontevedra;497
Portas;Pontevedra;629
Porto do Son;A Coruña;480
Portomarín;Lugo;671
Punxín;Ourense;629
Quintela de Leirado;Ourense;629
Quiroga;Lugo;465
Rábade;Lugo;436
Rairiz de Veiga;Ourense;629
Ramirás;Ourense;629
Redondela;Pontevedra;69
Rianxo;A Coruña;484
Ribadavia;Ourense;629
Ribadeo;Lugo;612
Ribadumia;Pontevedra;629
Ribas de Sil;Lugo;465
Ribeira;A Coruña;484
Ribeira de Piquín;Lugo;514
Riós;Ourense;629
Riotorto;Lugo;504
Rodeiro;Pontevedra;536
Rois;A Coruña;424
A Rúa;Ourense;629
Rubiá;Ourense;629
Sada;A Coruña;436
Salceda de Caselas;Pontevedra;Dato non dispoñible
Salvaterra de Miño;Pontevedra;437
Samos;Lugo;559
San Amaro;Ourense;629
San Cibrao das Viñas;Ourense;629
San Cristovo de Cea;Ourense;629
San Sadurniño;A Coruña;509
San Xoán de Río;Ourense;629
Sandiás;Ourense;629
Santa Comba;A Coruña;528
Santiago de Compostela;A Coruña;626
Santiso;A Coruña;536
Sanxenxo;Pontevedra;629
Sarreaus;Ourense;629
Sarria;Lugo;629
O Saviñao;Lugo;559
Silleda;Pontevedra;536
Sober;Lugo;484
Sobrado;A Coruña;536
As Somozas;A Coruña;509
Soutomaior;Pontevedra;64
Taboada;Lugo;604
Taboadela;Ourense;629
Teo;A Coruña;639
Toén;Ourense;629
Tomiño;Pontevedra;629
Toques;A Coruña;536
Tordoia;A Coruña;639
Touro;A Coruña;536
Trabada;Lugo;638
Trasmiras;Ourense;629
Trazo;A Coruña;640
Triacastela;Lugo;430
Tui;Pontevedra;497
O Valadouro;Lugo;714
Valdoviño;A Coruña;509
Valga;Pontevedra;629
Vedra;A Coruña;639
A Veiga;Ourense;629
Verea;Ourense;629
Verín;Ourense;626
Viana do Bolo;Ourense;629
O Vicedo;Lugo;548
Vigo;Pontevedra;541
Vilaboa;Pontevedra;629
Vilagarcía de Arousa;Pontevedra;545
Vilalba;Lugo;546
Vilamarín;Ourense;629
Vilamartín de Valdeorras;Ourense;629
Vilanova de Arousa;Pontevedra;672
Vilar de Barrio;Ourense;629
Vilar de Santos;Ourense;629
Vilardevós;Ourense;629
Vilariño de Conso;Ourense;629
Vilasantar;A Coruña;536
Vimianzo;A Coruña;424
Viveiro;Lugo;548
Xermade;Lugo;525
Xinzo de Limia;Ourense;629
Xove;Lugo;725
Xunqueira de Ambía;Ourense;629
Xunqueira de Espadanedo;Ourense;629
Zas;A Coruña;424
